title,plot,type,runtime,genre,vector
Doctor Dolittle,A doctor discovers that he can communicate with animals.,movie,85 min,"Comedy, Family, Fantasy","[-0.6670352  -1.1872406   1.0030143   0.6262743  -0.02262789 -0.39983916
  1.1677408   0.6734476  -0.40089375  0.14766333  0.43525475 -0.16296142
  0.38136476 -0.14961034 -0.77170205 -0.43956426 -0.45337117  0.5580878
  1.039142   -0.47602034 -0.68495697  0.37687442 -0.5734509  -0.03859278
  0.5273585   0.37235543 -0.11164759 -0.37174335 -0.4949071   1.4540381
 -0.491272    0.35286516 -0.3768219   0.48207122 -0.58028615 -0.74019784
 -0.50604606  0.81179965 -0.17459366  0.13130736 -0.63873553 -0.22733857
 -0.05447986  0.50295967 -0.36996433  1.1944847  -0.35668302  0.15463662
 -0.6856358  -0.72737956 -0.00292945  0.2653992  -0.15513355 -0.5770113
 -0.28664404 -0.89243174  0.5238125  -0.64347744  0.6373426   0.14864461
 -1.0246556   0.42555705  0.6151238  -0.6860832   0.27905306 -0.30830032
 -0.12577032  1.0526363  -0.39707512 -0.77454185 -0.09774055  0.49027836
  1.4566236  -0.37098134 -0.05311386 -0.3747439  -0.2805933  -0.29904413
 -0.34156525  0.00423007 -0.8884433  -0.50475585 -0.3921827   0.16269104
 -0.2182509   0.02315301  0.37091714 -0.3842398  -0.457891    0.37735015
 -0.08548701  0.30521783  1.0191257  -0.10753554  0.54921216  0.42670938]"
Dr. Dolittle 2,Dolittle must save a forest and a bear's life.,movie,87 min,"Comedy, Family, Fantasy","[-0.49496603 -1.1309536   0.7574037   0.23298891  0.89175576 -0.19058271
  0.68311626  0.7664823  -0.18366201 -0.05015053 -0.00619165  0.35721406
 -0.24527259  0.26387194 -0.6120423  -0.21538614 -0.54684746  0.36574206
  0.83349967 -0.29485434 -1.191167    0.8711662  -0.14237763  0.5414154
  1.0220376  -0.21887463 -0.04291433 -0.29660162 -0.16733092  0.56941026
  0.14683051  0.10737636 -0.09520284  0.12994468 -1.2615286  -0.81207925
 -0.4237384   0.74382585 -0.17174882  0.517751   -0.47468767 -0.05212577
 -0.6222511   0.02952119 -0.42481852  0.9548033  -0.5931447   0.6824782
 -0.3293924  -0.01920835  0.08302668  0.0908108   0.23024035 -0.40503553
  0.04128159 -0.90500003  0.01416165 -0.997056    0.6683193   0.5664213
 -0.8513616  -0.43175212  0.4067928  -0.7117138  -0.04295417  0.41404065
 -0.11060578  1.2700195  -0.22979623 -0.66014856 -0.03644915  0.0661666
  0.2340283  -0.24936126  0.02732329 -0.47438338 -0.05031292 -0.39371395
  0.08645472  0.3637965  -0.5257502   0.24484658 -0.05870243  0.18344206
  0.0371572  -0.36408898  0.27505633  0.384516   -0.7269698   0.7979252
 -0.1546147  -0.18936896  0.26846054  0.64981955  0.4745673   0.45493874]"
Dumbo,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",movie,112 min,"Adventure, Family, Fantasy","[-1.40764368e+00 -3.21630716e-01  1.03842700e+00  4.37582314e-01
 -1.51582807e-03 -2.52517551e-01  9.52771664e-01  7.27726579e-01
 -6.77299857e-01  2.11994469e-01  1.06651175e+00 -4.45516407e-03
 -5.66297293e-01 -2.18037218e-02 -2.99444944e-01  2.78352678e-01
 -2.39735901e-01 -8.67939591e-02 -2.97017157e-01 -5.37305176e-01
 -1.56755185e+00  5.93745828e-01 -8.31319273e-01  1.64761096e-01
 -1.57165498e-01  6.36532158e-02  1.36934876e-01  2.37604216e-01
  1.86485410e-01  1.55614030e+00 -3.74991089e-01  8.57124925e-01
  2.11652517e-01  8.70659411e-01 -2.52996862e-01 -8.61332774e-01
 -1.89083725e-01  2.14251065e+00  1.92959249e-01 -7.58407116e-01
 -5.41551769e-01 -1.05010295e+00 -3.42889518e-01  3.40016514e-01
  6.63325846e-01 -6.47921503e-01 -1.15244532e+00  3.74277204e-01
 -1.03642046e+00 -7.79482484e-01  6.74312770e-01  1.04942334e+00
 -2.92698026e-01 -7.21705198e-01 -7.78140962e-01  3.48569155e-02
  1.15665650e+00 -3.57066572e-01 -2.09220245e-01  9.42018032e-01
 -5.01274943e-01  2.91918457e-01 -2.37184256e-01 -2.01095581e-01
  8.10041428e-01  1.49555504e-02  7.76067138e-01  5.19632697e-01
 -7.76916683e-01  3.04040432e-01  5.91941774e-02  1.20155632e+00
  2.43937314e-01 -3.03732425e-01 -1.58548564e-01 -1.17827594e-01
 -2.75953263e-01 -3.20663154e-02 -1.10037208e+00  3.49167585e-02
  1.28775567e-01  7.45589852e-01 -1.12760973e+00 -4.10802633e-01
  2.17438281e-01  3.13652426e-01  1.95123136e-01 -5.61073273e-02
 -5.11955917e-01  5.39245844e-01 -7.41845369e-01  2.22059071e-01
  7.56324768e-01 -1.51885629e-01 -3.18083614e-01  1.99199855e-01]"
Eight Below,Brutal cold forces two Antarctic explorers to leave their team of sled dogs behind as they fend for their survival.,movie,120 min,"Adventure, Drama, Family","[-0.23634453 -0.6041243   0.11436997 -0.23815158  0.82109964 -0.9927764
  0.02645589  0.04227927 -0.09022783 -0.37881282 -0.3395752   0.04455282
 -0.84370124  0.19659986 -0.39101192  0.41279748 -0.48172367  0.38189012
 -0.5513402   0.03993681 -0.2669545   0.27695975  0.54220915  0.08545104
 -0.4545073   0.12682697  0.6132351  -0.29710278 -0.1926572   0.9730451
  0.26538348  0.15730685  0.66834813 -0.3704456  -1.0547643   0.08759528
  0.35603508  0.777092    0.03916597 -0.3619563  -0.2643018  -0.38561016
 -0.41026795  0.05227631  0.5978662  -0.07974146 -0.67455596 -0.01754148
  0.4287788  -0.1947058   0.37689185  1.0489852  -0.2812534   0.16802657
  0.33306938 -0.55789256  0.34200966 -0.42117035  0.1911713   0.20773345
 -0.6874268   0.03897874 -0.28703928 -0.23803325 -0.22869441 -0.24216872
  0.60771805  0.19064167 -0.5840535   0.22249296 -0.89108694  0.55134493
 -0.07398695  0.13136466  0.10377294 -0.19130185  0.10451156 -0.54068047
  0.11149918  0.2814381  -0.9317134   0.29911828  0.55777246  0.24936643
 -0.19856149  0.5107879  -0.4553034  -0.34694842 -0.01942042  1.0336564
 -0.19734839  0.7099284  -0.08358131  0.6852209  -0.12878197 -0.5321959 ]"
Fantasia,A collection of animated interpretations of great works of Western classical music.,movie,125 min,"Animation, Family, Fantasy, Music","[-0.9021746  -0.66364616  0.17494735  1.0228281   0.7425596  -0.3819946
  1.4274399   0.7698725   0.14643362 -0.04122394  0.02020181  0.00885068
 -0.44138765  1.1181746  -0.6210234   0.30785486 -0.37314227 -0.1952661
 -0.19044055 -0.25460267 -0.6627574   0.84362227 -0.28302675 -0.22185655
 -0.12204672 -0.04396325 -0.03978723 -0.20173359 -0.198335    1.6436496
 -0.09292392  0.4555717  -0.02022909  0.758225   -0.30274838 -0.6650629
 -0.70270693  0.69085395  0.6385795   0.5125963  -0.03374377 -0.11681007
 -0.29471108 -0.75727487  0.63934076  0.7922943  -1.0759891   0.27375647
  0.19478956 -0.4617955   0.35579705  0.6196941  -0.32401243 -0.5825606
 -0.47354153 -0.962489    1.8172603  -0.8298242   0.20284396 -0.09012869
 -0.39665845 -0.02641457  0.5536976   0.0088242   0.3520202  -0.04550102
  0.40957296 -0.11578982 -0.8371657  -0.1899205  -0.68886226 -0.2091687
  0.31714517 -0.3531195   0.1258809  -0.02998693 -0.3106107  -0.17205578
 -1.2936335  -0.58688724  0.6434897   0.2301632  -0.23979089 -0.49098378
  0.7042812   0.49592692  0.29308552  0.14753287 -0.4994412   0.58570635
 -0.73412746 -0.12400368  0.5078238  -0.3563553  -0.9246049   0.65174997]"
Fantasia 2000,An update of the original film with new interpretations of great works of classical music.,movie,75 min,"Animation, Comedy, Family, Fantasy, Music","[-0.7144176  -0.29451796 -0.02095535 -0.06348656  1.7193336  -0.31024328
  0.2395126   0.7411479   0.15344718 -1.0158939  -0.48605797  0.4111943
 -0.32569796  0.83609843 -0.0843505  -0.02628029 -0.24250877  0.08032563
 -0.04564333  0.2923934  -1.0109324   1.1311227   0.4426737   0.15427652
  0.40544212 -0.16584617 -0.17635    -0.39645392 -0.13376856  0.82679176
  0.00561741  0.5430813   0.00189564  0.74824625 -0.98409617 -0.42069232
 -0.8095403   0.52126896  0.33102804  0.98260015 -0.07057343  0.16338047
 -0.21370803  0.08084744  0.31424803  1.6363795  -1.2878162  -0.24846247
 -0.6552746  -0.17936853  0.610736    0.3030333   0.00569654 -0.52054214
  0.05917425 -0.8193054   0.57523483 -0.95716846  0.53689706  0.37166527
  0.38415706 -0.79252803  0.18093723 -0.50751746 -0.35496688 -0.17480628
  0.09023649 -0.5128381   0.35932374 -1.2670736  -0.45129108 -0.35365477
 -0.09604394 -0.2774309  -0.06186708 -0.28335673 -0.47544384 -0.5608949
 -0.03093292  0.25841576 -0.30551553  0.13684411 -0.34220013 -0.26447406
  0.35140312  0.08853815 -0.32186466  0.9117985  -0.54731977  1.1581838
 -0.42714494  0.2062363   0.0416342   0.43651927 -0.31168067  0.388631  ]"
Finding Dory,"Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",movie,97 min,"Animation, Adventure, Comedy, Family","[-0.2218452  -0.6314354   0.35080513  0.83132744 -0.40240246  0.09213078
 -0.14581299 -0.17405671  0.13866556 -0.68997574  0.01276585 -0.6131125
 -0.20142633 -0.17323224 -0.2128344   0.3839031  -0.57655203 -0.3856591
  0.15580615  0.03012612 -0.19827358  0.8001828  -0.39172423 -0.0969281
  0.51979136  0.53562367  1.1506828   0.8483014  -0.86753213  1.1089574
  0.3272536   0.10959657  0.07171813 -0.46198517 -0.4142991  -0.74382246
 -0.20558673  0.9144741   0.3994534   0.26631755 -0.26669523  0.2846306
 -0.08756247  0.11804357  0.34018546 -0.03328378 -0.28237244  0.16926813
  0.54020387 -0.87367475  0.83987063  0.52671105 -0.6623802  -1.0925941
 -0.73794323 -0.4149048   0.41688025 -0.30822706 -0.14009306 -0.18405733
 -0.66099215  0.4500028  -0.5396935  -0.05608371 -0.411807    0.85418063
  0.32345283  0.6867959  -0.10450905 -0.2794593   0.08513637 -0.4129811
  0.3261201  -0.0353854  -0.30120525 -0.3174547  -0.61246645 -0.42919347
  0.3803866  -0.37271017 -0.3318743   0.32198104 -0.6419619  -0.78772056
  0.19570348  0.6096978   0.7234774  -0.31358016 -0.13194287  0.6763183
 -0.83397245  0.37624958  0.42300797  0.6204874   0.07317562  0.04134669]"
Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",movie,100 min,"Animation, Adventure, Comedy, Family","[-0.3817683  -0.72953403  0.76969993  0.953174   -0.32862946  0.14289051
  0.3536462   0.38880214  0.03100383 -0.7674235   0.11518383 -0.36447996
 -0.3064426   0.2865285  -0.27482542 -0.34354725 -0.33863303  0.10492891
  0.01341659 -0.26187426 -0.39281693  1.3286664  -0.5977192  -0.2049227
  0.36772966  0.715709    1.0684745   0.5356583  -1.0156363   1.041063
  0.34178686  0.6075164  -1.0286343   0.633094   -0.7998965  -0.30361196
 -0.51513255  0.7181262   0.27317697 -0.41349962 -0.53142494  0.01035601
 -0.22770542 -0.22517563  0.4709661   1.0197078  -0.00315176  0.77702343
  0.7100121  -0.6646403   0.3692926   0.62095    -0.89942527 -0.4398274
 -0.4485538  -0.05765132  0.7429293  -0.42423087 -0.0674307   0.01573601
 -0.7898539   0.84711504 -0.5094553   0.37531883 -0.3346777   0.2768839
 -0.07216115  0.7799673  -0.7853216  -0.40024382 -0.29156274 -0.57520664
  0.41908428  0.04636116 -0.10072587 -0.5342029  -0.70909816 -0.13859846
 -0.39951557 -0.55061543 -0.18024522  0.12173568 -0.4623022  -0.60199165
  0.6680992   0.32326996  0.46497458 -0.6044345   0.13769385  0.46707797
 -0.4744804   0.0514361   0.12799463  0.06678832 -0.01140551  0.1250312 ]"
First Kid,"A former boxer turned Secret Service agent is assigned to protect the President's son, who seems determined to make life difficult for his new protector.",movie,101 min,"Family, Comedy","[-0.33188245 -1.4414794   0.04101212  0.39911264 -0.26986653 -0.1519162
  0.62881947  0.10458842 -0.68308985 -0.9369212   0.28988165 -0.18236226
  0.07425313 -0.29674035 -0.8719393   0.49518803 -0.63721913  0.22358629
  0.05186263 -0.9474404  -0.68854463  0.99292135 -0.37671435 -0.14659569
  0.30089557  0.08871192  0.07211208 -0.25345075 -0.20158534  1.402838
  0.1459961   0.41638362 -0.528844   -0.17731014 -0.8084694  -0.08611885
 -0.4745644   0.9265363   0.15092239 -0.09467173 -0.4240626  -0.1270628
 -0.22053483  0.55319333  0.1645112   0.21944621 -0.7224803   0.09716919
  0.31160566 -0.12793593 -0.06844579  1.1314783  -0.14879021 -0.5731072
  0.5167448  -0.6747221   1.0411053  -0.2931552   0.35166544  0.33416528
 -0.975021    0.18733177 -0.5112107  -0.5959275   0.62872744  0.58120716
  0.9775274   0.9539054  -0.50835574  0.0016433  -0.4592892   0.10245422
  0.1172711  -0.27090472 -0.259834   -0.5828495   0.36462274 -0.43392777
 -0.23999956 -0.51683813 -0.9475713   0.27104822 -0.6377079  -0.23202145
  0.06403585  0.16335984  0.41254368  0.49406344  0.2402284   0.27473196
  0.17049176  0.21624765  0.74301     0.01786634  0.30197453  0.08478537]"
Flight of the Navigator,"In 1978, a boy travels 8 years into the future and has an adventure with an intelligent, wisecracking alien ship.",movie,90 min,"Adventure, Comedy, Family, Sci-Fi","[ 0.44120497 -0.5463182  -0.3867916   0.60688126 -0.5446325  -0.39591682
  0.39916837  0.29952174 -0.16968581  0.1422166  -0.3944529   0.27691793
 -0.37638605 -0.1888949  -0.18545358  0.18499994 -0.02339283  0.6156345
  0.11058509  0.05447901 -0.37572476  0.44394794  0.0945684  -0.04198797
  0.18191536 -0.4532879   0.2612569  -0.6416327   0.09807558  0.5205653
 -0.53797126 -0.07784887  0.23856696 -0.3173167  -0.26934522 -0.27306026
  0.5362407   0.5074609  -0.03845562  0.7015948  -0.28031212  0.11007158
 -0.43295863  0.0838539  -0.01821567  0.11362264 -0.5541099  -0.03110909
  0.17496341 -0.00392932 -0.16876584 -0.13555604 -0.11549804 -0.1477168
 -0.14961758 -0.11126161  0.11878983 -0.23966621 -0.10849057 -0.10983545
 -0.5209671  -0.6691833  -0.04219979 -0.50997716 -0.00727664 -0.1292235
  0.8447787  -0.13254672 -0.04865193  0.47314596 -0.3006932  -0.04111259
  0.8556176  -0.26214972 -0.13421395 -0.6313829  -0.30348724 -0.28938112
  0.08787447  0.03842136  0.33667836 -0.02147011 -0.09961018 -0.4495979
  0.99560094 -0.2770768   0.14146435  0.3454194  -0.05031583  0.2892014
 -0.76865673  0.28609246  0.1981155  -0.18610784 -0.09874287  0.35739112]"
Flubber,"An absent-minded professor discovers ""flubber,"" a rubber-like super-bouncy substance.",movie,93 min,"Comedy, Family, Sci-Fi","[-7.2191375e-01 -1.0908471e+00  1.8806911e-01  6.8241185e-01
  6.0736704e-01 -4.2033246e-01  2.0095219e-01  3.5471982e-01
 -7.6234543e-01 -6.6181374e-01 -3.0056918e-01  2.8748819e-01
 -6.8540978e-01  3.3861089e-01  3.3249080e-02  6.7996800e-01
 -1.0775757e+00 -1.9889250e-02  7.8307998e-01 -8.0848432e-01
 -9.8114359e-01  2.3281605e+00 -4.8104429e-01 -1.8626340e-01
  1.4858705e-01  4.1314059e-01  4.1543525e-01  1.4782429e-01
  1.2678504e-03  1.2755232e+00  3.4941751e-01  7.1168864e-01
  2.3602426e-01  4.7400898e-01 -5.6781936e-01 -5.3175718e-01
 -7.1319652e-01  2.0952332e-01  8.0085683e-01  7.9208291e-01
  7.2054103e-02 -3.8504112e-01 -2.6427108e-01 -8.8503480e-02
  4.2252338e-01 -5.6419450e-01 -9.2761290e-01 -5.5705452e-01
 -4.3330744e-01 -8.6121875e-01 -1.7609018e-01  1.2488140e+00
 -4.6476305e-01 -1.3190527e+00  5.0973189e-01  5.6789321e-01
  1.3513626e+00 -6.5923846e-01  4.9213365e-01  2.0186245e-02
 -1.0248637e+00  5.1378304e-01  1.9489379e-01 -7.6821208e-02
  7.5978971e-01 -4.8770142e-01  6.7016923e-01 -4.2262688e-01
 -8.9781487e-01 -1.1414826e-01 -8.1417248e-02  5.6890631e-01
  2.3557171e-01 -2.9121622e-01 -1.5369001e-01 -4.8064500e-02
 -3.3303946e-02 -8.4547687e-01 -6.1881071e-01 -7.7274060e-01
 -7.9080772e-01  9.2893720e-02 -3.8920352e-01 -5.6248403e-01
  1.1269798e+00  1.0839628e+00  9.6554959e-01  5.1545393e-01
  1.0257339e+00  2.3262376e-01 -1.3933759e+00 -3.2511866e-01
  2.7825063e-01  1.6059954e-01 -4.9119213e-01  2.9347411e-01]"
Frankenweenie,"When a boy's beloved dog passes away suddenly, he attempts to bring the animal back to life through a powerful science experiment.",movie,87 min,"Animation, Comedy, Family, Horror, Sci-Fi","[-0.53741074 -0.5514984   0.26407254  1.1550512  -0.00802368 -0.89241457
  0.7536054   0.7258059  -0.5510594  -0.8117373   0.18685439  0.10150689
 -0.5318138   0.15200019 -0.20921439  0.739596   -0.78623474 -0.58623934
  0.00236407 -0.41599584 -0.6575999  -0.0733579  -0.7729161  -0.19260377
 -0.196892    0.34051132  0.67315346 -0.41459268 -0.24043062  1.8321794
 -0.5756598   0.77032703  0.4070583  -0.01559687 -0.06016296 -0.5929645
 -0.20011364  1.2658317   0.78179044  0.13626815 -0.20604318 -0.09214312
  0.2418141  -0.3421039   0.678451   -0.41764086 -0.72856677 -0.8137373
 -0.11484723 -0.60311705  0.18103008  1.6551232   0.02377868 -0.8775185
 -0.02208363 -0.55373824  0.68361783 -1.1142521  -0.04044154 -0.09236906
 -1.2852707   0.38367707  0.00183347 -0.33022234  1.0188644   0.8643242
  0.6597673  -0.29873216 -0.73622113  0.35812148 -0.9278451   0.82184124
  0.6380478  -0.1899035   0.2537212  -0.18120185  0.01496676 -0.20239827
 -0.27572292 -0.44175363 -0.45775697 -0.20770285 -0.4054905  -0.20728794
  0.7069863   1.2246382   0.84135395  0.3757229  -0.05710413 -0.32778588
 -0.8926444   0.1797204   1.2229941  -0.08404212 -0.77332205 -0.05627465]"
Freaky Friday,"An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",movie,97 min,"Comedy, Family, Fantasy, Music, Romance","[-8.2049978e-01 -1.5138401e-01 -6.9885612e-02 -1.5225688e-01
  1.2373865e+00 -5.5615568e-01  1.1516854e+00  6.0290843e-02
 -3.7390921e-01  6.6939816e-02  1.8478394e-02 -2.3620297e-01
 -6.1149371e-01  6.6193086e-01 -3.1502274e-01 -5.2819508e-01
 -3.8857704e-01  2.1706723e-01  2.5212651e-01  9.3427539e-02
 -1.3219061e+00  2.2656494e-01 -1.5773654e-01  6.4637685e-01
  1.5237576e-01 -7.7653825e-03 -3.7713069e-01 -2.8367591e-01
 -6.3991380e-01  1.1250730e+00  1.7457506e-01  5.5758566e-01
 -8.8117249e-02  1.1322963e+00 -4.5248842e-01 -9.8558849e-01
 -1.0002422e+00  2.8466254e-01 -4.4581664e-01  3.1768188e-01
  3.9263859e-01 -6.1848462e-01 -6.1295629e-01 -4.6352273e-01
  5.4032743e-01  1.0386866e+00 -7.6492184e-01  3.9584702e-01
 -5.3414440e-01 -1.1885923e-01 -1.7391831e-02 -4.6928823e-01
  6.9096684e-05 -8.5956353e-01 -1.8286869e-01  3.9139789e-01
  4.4859320e-01 -9.1065925e-01  1.6749713e+00  3.0858013e-01
 -9.0122795e-01 -3.3738017e-03  4.6580452e-01 -1.2350841e-01
  1.1201985e+00 -7.6857761e-02  3.6405912e-01  8.4509283e-01
 -5.2196544e-01 -4.9855128e-01 -1.4794594e-01  1.2995248e-01
  7.8221667e-01 -5.0631559e-01  2.1922073e-01  5.4570425e-01
 -9.0960674e-03 -3.4683022e-01 -5.4728645e-01 -1.4755848e-01
 -4.1923022e-01 -7.1234211e-02 -7.1590179e-01 -7.8643262e-02
 -2.8610483e-02 -3.1121933e-01  1.2986896e+00  3.4549364e-01
 -5.0928473e-01  3.9660528e-01 -2.3402572e-02 -7.1158016e-01
  9.7905612e-01  4.2339882e-01  4.2691252e-01  3.4755033e-01]"
Frozen,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",movie,102 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical","[-0.11375237 -0.8750703   0.06774569  0.67989653 -0.63130015 -0.9695553
 -0.16033918  0.42924845 -0.01226407 -1.2386256   0.11568731  0.5847243
 -0.94010097  0.09389659 -0.8736365   0.6711428  -0.3459468  -0.6928164
 -0.04355536  0.5333907  -0.5627317   0.71816087 -0.65911734  0.07987671
  0.43609416  0.45217955  0.40906194  0.09211202  0.05891231  0.8263749
 -0.34786353  0.76009846  1.832477    0.36458004 -0.96062255 -0.725412
 -0.37125725 -0.10915865  0.2948321  -0.31803188 -0.47353464 -0.4346491
  0.0741418   0.34926674  0.38010794 -0.21580607 -1.2160448  -0.645012
  0.22385806 -0.28178427  1.0076513   1.6151156  -0.64753175 -0.56729466
  0.32540485  0.52707887  1.6237569  -0.89627546  0.15443933  0.35432136
 -0.3564601   0.10091447 -0.64289653  1.0293338   0.36144313  0.48792508
  0.48494804 -1.3989551  -1.1112899  -0.59265333 -1.5950286   0.07380511
 -0.21988264  0.64123166 -0.51253015 -0.26339948 -0.28743178 -0.32372236
  0.02674837  0.2241263  -0.78076786  0.45090947  0.12472937  1.2059426
  0.95945024  0.7881469   0.90798825  0.31287155 -0.00954774  0.15803444
 -0.25784162  0.16095176 -0.00258607  0.5745364  -0.51915133  0.6224179 ]"
Frozen II,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",movie,103 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical","[ 0.02551788 -1.0100011   0.67006934  0.42607802  0.13390331 -0.6510278
 -0.12864049  0.29059425 -0.50152457 -0.75320625  0.60065347  0.39767185
 -0.6413461   0.40253896 -0.7174096   1.2126715  -0.40701076  0.16161865
  0.27990362 -0.366202   -0.59385794  0.01293816 -0.2293415   0.47818905
  0.6912769   0.38394275  0.04439375 -0.4655473   0.40328163  0.93791723
 -0.36123556  0.00611156  0.63953483 -0.6033935  -1.006843   -0.25752938
  0.31059417  1.0738654  -0.17940931  0.42909837 -0.10117719  0.08083483
 -0.47405326  0.6489583   0.7787992   0.4839469  -0.39039084 -0.2009144
  0.3804829  -0.47373447  0.20026457  0.54428107 -0.07542089 -0.58563733
 -0.30898342 -0.34470913  0.64376223 -0.21351795  0.8188598   0.47428584
 -0.813353    0.4753025  -0.1616685  -0.60970587  0.16513307  0.08974213
  0.74878746  0.3878939  -0.7117876  -0.61701226 -0.47414762 -0.12174715
 -0.35701114 -0.33805472 -0.18850105 -0.55304796 -0.502898   -1.0979316
  0.3214129  -0.5092917  -0.97495234  0.1422722   0.6597508   0.11156426
  0.01179393  0.10394857  0.42429107 -0.06180608  0.30349582  0.5896767
 -0.01792795  0.01698905 -0.15448779 -0.07602131 -0.04742321  0.50541526]"
G-Force,A specially trained squad of guinea pigs is dispatched to stop a diabolical billionaire from taking over the world.,movie,88 min,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi","[-0.5666223  -0.6170417   0.9367385   0.9991884   0.35938847  0.5632282
 -0.02860748  0.6479375   0.27053097 -0.7127668   0.5812827  -0.38295332
 -0.05729977 -0.04078421 -0.9110236   0.45023215  0.7762792   0.32281747
  0.27878615 -0.5552831  -0.32625642  0.18596101 -0.6549463   0.14297731
 -0.24883373 -0.16815068  0.21830045 -0.48845443  0.184798    1.1952922
  0.10379833  0.26158035  0.19622232  0.64938027 -0.48050895 -0.5812188
  1.1960756   0.13603692 -0.37792596  0.392701   -0.4604683  -0.30412665
  0.25095227  0.04691892  0.14522018  0.62512314 -0.26003838 -0.11955167
 -0.18327664  0.10544458  0.10843299  0.42608383  0.8622925  -0.09982184
 -0.58795065 -0.33006597  0.8002758  -0.452423   -0.09647044  0.09904018
 -0.6378524   0.72773904 -0.06704213 -0.8784284  -0.25310722  0.28137028
  0.35139617  0.65479857 -0.69238585 -0.70639086 -0.4942217   0.02165546
  0.6111603  -0.13238718  0.31141564  1.289051   -0.8211241  -0.7781072
  0.19288695 -0.71884054 -1.048432   -0.2575526   0.12413951 -0.57365173
 -0.12978424 -0.10489646  0.5865211   0.11849991 -1.0023541   0.03715207
 -0.12962578  0.06694014  0.3741877   0.0046583   0.07422554 -0.1603095 ]"
George of the Jungle,A man raised in the jungle by apes falls in love with a wealthy American heiress.,movie,92 min,"Action, Adventure, Comedy, Family, Romance","[ 5.91958642e-01 -4.77966398e-01  1.11235470e-01  4.85289872e-01
 -5.44696212e-01 -6.13370240e-01  4.50915396e-01 -4.93950322e-02
  3.20298910e-01  7.24244565e-02 -1.85261145e-02  2.66080141e-01
 -1.59309268e-01 -1.22051239e-01 -1.04590937e-01 -2.88467646e-01
  3.85195687e-02  5.44643164e-01  4.16699290e-01 -1.41218036e-01
 -8.04527164e-01  1.31381810e-01 -3.59653413e-01 -6.81611449e-02
 -1.59453601e-02  2.53595412e-04  4.09310669e-01 -6.71471357e-01
  2.15993196e-01  6.24249279e-01 -3.93924654e-01 -1.67423971e-02
  6.59029633e-02 -4.54347804e-02 -4.39636111e-01 -1.27101794e-01
  4.45168108e-01  7.55615950e-01 -1.88108310e-01  5.48462927e-01
 -2.76469380e-01  8.67361277e-02 -6.85328662e-01  5.55095077e-03
  1.36379302e-02  2.98005909e-01 -6.62635088e-01  8.91900286e-02
 -1.43111348e-02  5.26281670e-02 -4.01095420e-01  2.59177983e-02
 -2.71758646e-01  3.97519469e-02 -4.51087207e-01 -1.49496093e-01
  1.03535041e-01 -2.89834917e-01  1.89694226e-01  3.64622176e-02
 -5.91948032e-01 -3.68604541e-01  2.48623818e-01 -3.94235492e-01
  1.77685022e-01  5.97981364e-03  4.71099377e-01 -1.56157836e-02
 -3.93136799e-01  2.22087234e-01 -5.16165435e-01 -2.87262082e-01
  1.15421772e+00 -3.31102192e-01 -1.52731463e-01 -3.63255650e-01
 -4.45895970e-01 -3.65335643e-01  2.83498228e-01  1.15507700e-01
 -2.71932110e-02  4.95267361e-02 -2.11273357e-01 -4.04730529e-01
  5.43644607e-01 -1.52124673e-01  4.28898752e-01  3.11831862e-01
 -2.84889132e-01  4.19675469e-01 -5.10265589e-01  2.04473391e-01
  2.90350109e-01 -1.10250145e-01 -8.86170566e-02  3.18691850e-01]"
